state,public_use_microdata_area,WhiteNH,BlackNH,AminNH,AsianNH,OtherNH,TwoMore,Hispan,WhiteHispan,BlackHispan,HispanOther
25,03305,70499,31832,144,5934,481,4659,28720,12021,3721,12978
17,02000,136202,14099,255,8860,253,3805,8690,6165,196,2329
17,00105,101660,14017,371,3552,167,4384,18650,10457,963,7230
17,03005,41179,14365,261,3790,302,3006,84567,42399,440,41728
17,03525,102649,15329,251,27199,318,4690,10672,6430,401,3841
17,03502,132897,6940,55,12342,407,4904,13451,9134,155,4162
17,03501,87667,33592,342,17272,730,5415,28771,15819,673,12279
17,03421,99540,18470,59,34280,550,6731,18147,10268,823,7056
17,03414,36681,101327,194,1479,656,3855,20819,9720,1018,10081
17,03413,21439,116037,133,1445,288,3014,22949,14472,516,7961
17,03532,9229,81476,78,208,191,1022,38463,26686,719,11058
17,03416,111839,2096,42,19214,224,3028,6326,4645,63,1618
17,00202,154554,4430,230,1375,242,2755,7248,3946,80,3222
17,02901,113429,3882,118,2282,151,3536,18110,11098,413,6599
17,01602,133227,3289,179,672,72,1849,2852,2186,17,649
17,00700,98067,3020,120,281,104,1681,1742,1151,24,567
17,00600,91046,2251,128,805,7,1315,3123,1905,114,1104
17,02400,92641,2858,87,910,47,1713,10751,6950,104,3697
17,03601,105179,2378,47,4135,224,2482,21216,16633,242,4341
17,01001,139683,7796,198,1277,287,2792,3649,2077,19,1553
17,03522,53200,5085,53,5280,212,3676,65322,36906,975,27441
17,03504,64038,4518,68,17769,289,4042,50884,26265,431,24188
17,03415,80948,2414,258,16773,275,2660,23270,9326,22,13922
17,03401,80206,3094,29,18625,340,2854,20824,5935,193,14696
17,03417,49247,5220,231,20230,388,2846,42082,19632,133,22317
17,03412,49483,35752,67,2883,242,1539,17391,10109,123,7159
17,03411,95327,30608,114,3808,361,3248,36076,22312,205,13559
17,03531,1500,123230,59,436,418,1505,2345,536,552,1257
17,03524,87275,21499,37,17724,607,5668,46184,23211,770,22203
17,00501,127561,4498,400,624,64,1681,3408,2344,70,994
17,00401,125030,3510,259,675,108,2022,4412,2664,150,1598
17,02501,127838,4960,226,1123,108,2275,7569,4625,182,2762
17,00900,157434,13253,348,3112,247,4141,5691,2599,63,3029
17,00104,109763,2917,193,851,60,1621,10209,7211,43,2955
17,02100,139664,27967,203,22813,346,6243,12770,8939,269,3562
17,00300,99122,4368,189,689,88,1828,1939,1297,87,555
17,03310,98823,2351,225,19265,149,2742,11146,7002,108,4036
17,03309,92141,10296,269,17309,386,3805,28095,14989,354,12752
17,03602,141558,1814,116,4099,158,3828,20002,15255,34,4713
17,03307,37338,25936,335,3872,909,3622,65747,31060,634,34053
17,03306,106435,5483,163,6002,501,3427,35581,22676,441,12464
17,03700,130501,10104,96,4652,184,2929,29915,16835,633,12447
17,03308,90992,1471,14,9545,88,2345,12929,7356,252,5321
17,02200,128331,12563,225,1233,200,2429,8072,4842,110,3120
20,00802,105596,2838,2222,1326,298,3487,7012,4154,11,2847
20,00100,95868,1132,349,970,102,1617,7323,4352,207,2764
20,00300,96502,10763,570,5175,214,5339,13008,8406,510,4092
20,00200,126152,2294,685,1536,40,3580,9347,6374,136,2837
20,01400,95078,1102,501,791,75,2885,3557,2216,35,1306
20,01100,93759,1479,1001,588,54,2935,11158,8109,213,2836
20,00900,88019,1478,710,1352,54,3288,10513,7591,36,2886
20,01000,86087,2079,524,702,183,2561,8374,5833,148,2393
20,00400,102822,7574,635,1351,155,4691,7071,3217,535,3319
20,00801,63938,11548,843,1239,954,4173,17375,10817,440,6118
20,00700,94090,4812,2178,6356,753,5353,7762,4326,419,3017
20,00500,66340,34739,484,8224,974,6353,48333,25898,843,21592
20,01302,118934,18493,850,7826,451,6002,11917,6960,738,4219
20,01304,116331,10320,1260,8322,145,8002,21753,12254,143,9356
20,01301,132436,4060,772,3097,100,5506,20033,12877,117,7039
20,01303,67541,11207,872,3746,228,5962,30574,17839,324,12411
06,09702,80960,1605,375,6297,754,5110,29120,12411,300,16409
06,09703,100450,4263,987,11571,763,6277,66307,19984,419,45904
06,09903,94641,2280,578,8788,486,4962,75636,47497,160,27979
06,09901,33391,3189,387,6206,380,1849,78026,49317,243,28466
06,09904,54283,6456,580,9477,91,3555,38469,24415,360,13694
06,09902,40647,3944,696,9585,207,3153,64293,40512,329,23452
06,06712,73435,3730,407,14905,267,6568,16953,10106,163,6684
06,02300,99861,1314,5544,4280,325,8549,16228,7290,244,8694
06,07109,12339,11941,144,3718,108,1438,84333,47656,586,36091
06,07110,13450,5647,161,3759,223,1400,87599,25371,660,61568
06,07114,45298,8409,349,45065,159,5259,72322,36798,446,35078
06,07113,27692,9791,728,10384,300,4275,126500,56896,717,68887
06,03768,56354,2681,275,27254,237,6252,17325,10009,67,7249
06,03760,88989,3467,304,17626,527,8644,17892,9958,152,7782
06,03765,76536,7894,399,15072,323,5388,28731,18747,450,9534
06,03769,21908,11851,218,13097,229,2580,46339,26926,525,18888
06,03766,13888,13677,225,14569,362,2317,54623,31041,499,23083
06,03767,36251,9736,177,17713,489,3985,116316,62113,479,53724
06,03748,92949,26116,278,23069,896,9719,36055,20167,975,14913
06,03728,65697,4580,218,9445,882,5373,17158,10536,150,6472
06,03727,119094,5087,146,11536,500,7717,16958,9826,300,6832
06,03701,64016,7090,638,11166,610,5290,50751,27358,122,23271
06,03761,39900,3690,275,49944,348,5831,24954,10267,380,14307
06,03759,11983,22829,97,8263,528,2462,67244,31030,759,35455
06,03749,4736,43262,400,3431,744,2582,58709,24136,1152,33421
